departure,arrival,vehicle,departureTick
Cannes,Paris,Peugeot e-208,2
Nancy,Toulouse,Tesla Model 3,0
Nancy,Toulouse,Tesla Model 3,0
Nancy,Toulouse,Tesla Model 3,0
Nancy,Toulouse,Tesla Model 3,0
Nancy,Toulouse,Tesla Model 3,0
Nancy,Toulouse,Tesla Model 3,0
Nancy,Toulouse,Tesla Model 3,0
Nancy,Toulouse,Tesla Model 3,0
Nancy,Toulouse,Tesla Model 3,0
Nancy,Toulouse,Tesla Model 3,0
Nancy,Toulouse,Tesla Model 3,0
Nancy,Toulouse,Tesla Model 3,0
Paris,Nice,Zoe,1
Brest,Amiens,Fiat 500e Hatchback 24 kWh,1
Lyon,Lille,Tesla,4
